county,state,url,milestone_type,post_date,meeting_date,milestone_source,search_term
Acadia,LA,http://appj.org/wp-content/uploads/2025/10/10-21-25-Special-Meeting-Agenda.pdf,Special Meeting,2025-10-21,2025-10-21,Voterheads,Solar
Acadia,LA,http://appj.org/wp-content/uploads/2025/11/11-12-25-Regular-Police-Jury-Meeting-Agenda.pdf,Special Meeting,2025-11-11,2025-11-12,Voterheads,Solar
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3582&Inline=True,Public Hearing,2025-09-05,2025-09-09,Voterheads,
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3611&Inline=True,,2025-09-30,2025-10-09,Voterheads,Battery
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3616&Inline=True,Special Meeting,2025-10-06,2025-10-09,Voterheads,Solar
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3647&Inline=True,Special Meeting,2025-11-26,2025-12-03,Voterheads,
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3670&Inline=True,Special Meeting,2026-01-02,2026-01-07,Voterheads,
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3682&Inline=True,Public Hearing,2026-01-23,2026-01-27,Voterheads,
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3708&Inline=True,Public Hearing,2026-02-13,2026-02-18,Voterheads,Battery
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3712&Inline=True,Special Meeting,2026-02-21,2026-02-25,Voterheads,Solar
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3718&Inline=True,Public Hearing,2026-03-06,2026-03-11,Voterheads,Battery
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3722&Inline=True,Public Hearing,2026-03-06,2026-03-12,Voterheads,Battery
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3742&Inline=True,Special Meeting,2026-04-02,2026-04-06,Voterheads,Battery
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3743&Inline=True,Special Meeting,2026-04-06,2026-04-09,Voterheads,Solar
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3746&Inline=True,Public Hearing,2026-04-10,2026-04-14,Voterheads,Battery
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3761&Inline=True,Public Hearing,2026-05-02,2026-05-12,Voterheads,
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3771&Inline=True,Special Meeting,2026-05-22,2026-05-27,Voterheads,Solar
Bernalillo,NM,http://bernalillocountynm.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3797&Inline=True,Special Meeting,2026-06-19,2026-07-08,Voterheads,Solar
Montgomery,TX,http://destinyhosted.com/agenda_publish.cfm?id=66684&mt=ALL&vl=true&get_month=11&get_year=2025&dsp=ag&seq=1575,Public Hearing,2025-11-13,2025-11-18,Voterheads,
Collin,TX,http://mckinney.legistar.com/View.ashx?M=A&ID=1345793&GUID=A16FBED4-233E-4C3E-8D56-B7F4791129E2,Public Hearing,2025-10-15,2025-10-21,Voterheads,
